Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
250,Santi Aldama,2024-03-20,23-070,MEM,@,GSW,L 116-137,*,34,9,18,.500,3,6,.500,6,12,.500,3,4,.750,.683,3,6,9,4,2,1,2,0,27,25.0,10.7,-23,F,aldamsa01
251,Santi Aldama,2024-03-22,23-072,MEM,@,SAS,W 99-97,*,34,5,10,.500,2,4,.500,3,6,.500,2,2,1.000,.689,1,12,13,3,0,1,0,0,15,17.1,7.9,-6,F,aldamsa01
252,Nickeil Alexander-Walker,2023-10-25,25-053,MIN,@,TOR,L 94-97,*,23,1,5,.200,1,2,.500,0,3,.000,0,0,,.200,0,4,4,2,1,0,1,3,2,0.3,-9.5,-17,G,alexani01
253,Nickeil Alexander-Walker,2023-10-28,25-056,MIN,,MIA,W 106-90,*,23,2,8,.250,1,2,.500,1,6,.167,0,0,,.313,0,3,3,3,1,2,3,3,5,1.4,-6.7,8,G,alexani01
254,Nickeil Alexander-Walker,2023-10-30,25-058,MIN,@,ATL,L 113-127,,13,1,3,.333,0,0,,1,3,.333,0,2,.000,.387,0,0,0,2,0,0,1,1,3,0.5,-10.6,-9,G,alexani01
255,Nickeil Alexander-Walker,2023-11-01,25-060,MIN,,DEN,W 110-89,,21,2,6,.333,1,4,.250,1,2,.500,0,0,,.417,0,0,0,1,0,1,0,2,5,2.2,-2.9,2,G,alexani01
256,Nickeil Alexander-Walker,2023-11-04,25-063,MIN,,UTA,W 123-95,,18,0,3,.000,0,2,.000,0,1,.000,0,1,.000,.000,1,2,3,1,2,3,0,0,0,3.6,5.1,1,G,alexani01
257,Nickeil Alexander-Walker,2023-11-06,25-065,MIN,,BOS,W 114-109 (OT),,20,3,6,.500,1,2,.500,2,4,.500,0,1,.000,.621,0,1,1,3,1,0,1,3,8,5.8,5.9,13,G,alexani01
258,Nickeil Alexander-Walker,2023-11-08,25-067,MIN,,NOP,W 122-101,,18,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,4,4,8,1,0,2,0,0,5.1,5.6,-13,G,alexani01
259,Nickeil Alexander-Walker,2023-11-10,25-069,MIN,@,SAS,W 117-110,,19,3,4,.750,2,3,.667,1,1,1.000,2,2,1.000,.922,0,3,3,4,0,1,0,0,9,11.8,14.9,11,G,alexani01
260,Nickeil Alexander-Walker,2023-11-12,25-071,MIN,@,GSW,W 116-110,,17,4,6,.667,2,3,.667,2,3,.667,0,0,,.833,0,2,2,1,2,0,0,2,10,9.9,12.4,0,G,alexani01
261,Nickeil Alexander-Walker,2023-11-14,25-073,MIN,@,GSW,W 104-101,,25,2,5,.400,1,1,1.000,1,4,.250,0,0,,.500,0,0,0,1,1,1,2,1,5,2.3,-3.4,-16,G,alexani01
262,Nickeil Alexander-Walker,2023-11-15,25-074,MIN,@,PHO,L 115-133,,23,3,6,.500,1,1,1.000,2,5,.400,0,0,,.667,0,0,0,0,0,1,0,1,8,5.3,-3.2,-5,G,alexani01
263,Nickeil Alexander-Walker,2023-11-18,25-077,MIN,@,NOP,W 121-120,,18,4,7,.571,2,3,.667,2,4,.500,0,0,,.714,0,1,1,3,1,1,2,2,10,8.0,4.9,6,G,alexani01
264,Nickeil Alexander-Walker,2023-11-20,25-079,MIN,,NYK,W 117-100,,33,4,8,.500,1,2,.500,3,6,.500,0,0,,.688,1,2,3,3,0,0,0,2,11,9.6,2.9,15,G,alexani01
265,Nickeil Alexander-Walker,2023-11-22,25-081,MIN,,PHI,W 112-99,*,29,3,6,.500,2,2,1.000,1,4,.250,0,0,,.583,2,4,6,4,0,1,0,4,7,8.5,1.3,22,G,alexani01
266,Nickeil Alexander-Walker,2023-11-24,25-083,MIN,,SAC,L 111-124,*,22,2,8,.250,0,1,.000,2,7,.286,0,0,,.375,1,0,1,2,2,1,0,4,6,4.4,-1.2,-12,G,alexani01
267,Nickeil Alexander-Walker,2023-11-26,25-085,MIN,@,MEM,W 119-97,*,34,3,7,.429,1,1,1.000,2,6,.333,1,3,.333,.541,0,1,1,3,1,0,1,2,9,6.1,-1.6,17,G,alexani01
268,Nickeil Alexander-Walker,2023-11-28,25-087,MIN,,OKC,W 106-103,*,26,1,7,.143,0,2,.000,1,5,.200,0,0,,.214,1,1,2,1,0,0,2,2,3,-2.6,-11.9,-4,G,alexani01
269,Nickeil Alexander-Walker,2023-11-30,25-089,MIN,,UTA,W 101-90,*,36,8,16,.500,4,8,.500,4,8,.500,0,0,,.625,2,3,5,7,5,2,4,4,20,20.0,12.1,15,G,alexani01
270,Nickeil Alexander-Walker,2023-12-02,25-091,MIN,@,CHO,W 123-117,*,30,2,5,.400,2,3,.667,0,2,.000,2,2,1.000,.510,0,2,2,2,0,0,1,1,6,3.9,-7.7,-7,G,alexani01
271,Nickeil Alexander-Walker,2023-12-06,25-095,MIN,,SAS,W 102-94,*,20,3,8,.375,2,2,1.000,1,6,.167,0,0,,.438,0,2,2,0,0,0,1,1,7,1.8,-8.7,2,G,alexani01
272,Nickeil Alexander-Walker,2023-12-08,25-097,MIN,@,MEM,W 127-103,*,34,4,9,.444,0,1,.000,4,8,.500,2,2,1.000,.709,2,0,2,2,0,1,2,2,14,10.0,0.3,23,G,alexani01
273,Nickeil Alexander-Walker,2023-12-11,25-100,MIN,@,NOP,L 107-121,*,24,2,7,.286,1,3,.333,1,4,.250,2,2,1.000,.444,0,1,1,5,1,1,3,4,7,3.8,-3.6,-13,G,alexani01
274,Nickeil Alexander-Walker,2023-12-14,25-103,MIN,@,DAL,W 119-101,,20,5,6,.833,2,2,1.000,3,4,.750,0,0,,1.083,1,0,1,1,0,1,1,2,13,11.1,11.6,20,G,alexani01
275,Nickeil Alexander-Walker,2023-12-16,25-105,MIN,,IND,W 127-109,,26,1,6,.167,0,4,.000,1,2,.500,0,0,,.250,0,2,2,1,1,0,1,0,3,0.5,-11.3,2,G,alexani01
276,Nickeil Alexander-Walker,2023-12-18,25-107,MIN,@,MIA,W 112-108,,22,2,5,.400,0,1,.000,2,4,.500,2,2,1.000,.680,1,0,1,3,1,0,0,2,8,8.3,4.2,13,G,alexani01
277,Nickeil Alexander-Walker,2023-12-20,25-109,MIN,@,PHI,L 113-127,,16,2,3,.667,2,2,1.000,0,1,.000,0,0,,.667,0,2,2,2,0,1,0,1,4,5.0,4.7,-24,G,alexani01
278,Nickeil Alexander-Walker,2023-12-21,25-110,MIN,,LAL,W 118-111,,15,2,6,.333,1,1,1.000,1,5,.200,0,0,,.417,0,1,1,3,3,0,1,2,5,5.2,2.4,8,G,alexani01
279,Nickeil Alexander-Walker,2023-12-23,25-112,MIN,@,SAC,W 110-98,,23,1,4,.250,1,2,.500,0,2,.000,0,0,,.250,0,0,0,0,0,0,0,2,2,-1.2,-12.8,-1,G,alexani01
280,Nickeil Alexander-Walker,2023-12-26,25-115,MIN,@,OKC,L 106-129,,19,3,3,1.000,1,1,1.000,2,2,1.000,0,0,,1.333,1,0,1,3,1,0,0,3,8,9.7,13.0,-13,G,alexani01
281,Nickeil Alexander-Walker,2023-12-28,25-117,MIN,,DAL,W 118-110,,24,1,3,.333,0,0,,1,3,.333,0,0,,.500,0,0,0,3,4,1,0,0,3,8.1,9.8,-3,G,alexani01
282,Nickeil Alexander-Walker,2023-12-30,25-119,MIN,,LAL,W 108-106,,16,2,4,.500,0,0,,2,4,.500,0,0,,.750,0,2,2,2,1,0,2,4,6,3.4,0.3,-1,G,alexani01
283,Nickeil Alexander-Walker,2024-01-01,25-121,MIN,@,NYK,L 106-112,,17,1,3,.333,0,1,.000,1,2,.500,0,0,,.500,0,0,0,2,0,0,0,2,3,1.9,-2.1,3,G,alexani01
284,Nickeil Alexander-Walker,2024-01-03,25-123,MIN,,NOP,L 106-117,,19,1,3,.333,1,1,1.000,0,2,.000,2,2,1.000,.515,0,0,0,1,0,0,1,0,4,2.0,-9.3,-5,G,alexani01
285,Nickeil Alexander-Walker,2024-01-05,25-125,MIN,@,HOU,W 122-95,,18,4,6,.667,2,2,1.000,2,4,.500,1,2,.500,.799,1,2,3,3,2,2,0,2,11,14.0,22.5,17,G,alexani01
286,Nickeil Alexander-Walker,2024-01-07,25-127,MIN,@,DAL,L 108-115,,13,1,5,.200,0,1,.000,1,4,.250,0,0,,.300,1,0,1,1,0,0,0,0,3,1.3,-6.3,-6,G,alexani01
287,Nickeil Alexander-Walker,2024-01-09,25-129,MIN,@,ORL,W 113-92,,18,0,5,.000,0,1,.000,0,4,.000,0,0,,.000,0,2,2,3,0,1,2,1,0,-2.5,-14.5,11,G,alexani01
288,Nickeil Alexander-Walker,2024-01-10,25-130,MIN,@,BOS,L 120-127 (OT),*,40,5,8,.625,2,3,.667,3,5,.600,2,2,1.000,.845,2,2,4,3,1,1,1,4,15,14.6,6.1,-4,G,alexani01
289,Nickeil Alexander-Walker,2024-01-12,25-132,MIN,,POR,W 116-93,,19,1,3,.333,1,1,1.000,0,2,.000,0,0,,.333,0,2,2,3,2,0,2,1,2,2.6,-3.5,0,G,alexani01
290,Nickeil Alexander-Walker,2024-01-14,25-134,MIN,,LAC,W 109-105,,20,2,6,.333,0,1,.000,2,5,.400,0,0,,.500,0,0,0,1,0,1,0,4,6,2.4,-4.4,-4,G,alexani01
291,Nickeil Alexander-Walker,2024-01-17,25-137,MIN,@,DET,W 124-117,,23,3,6,.500,2,3,.667,1,3,.333,0,0,,.583,0,0,0,1,1,1,0,2,7,5.6,-2.8,-6,G,alexani01
292,Nickeil Alexander-Walker,2024-01-18,25-138,MIN,,MEM,W 118-103,,25,3,5,.600,2,2,1.000,1,3,.333,0,0,,.700,0,2,2,5,0,0,2,0,7,6.8,-0.7,13,G,alexani01
293,Nickeil Alexander-Walker,2024-01-20,25-140,MIN,,OKC,L 97-102,,19,1,3,.333,0,1,.000,1,2,.500,0,0,,.500,0,5,5,2,1,1,2,1,3,3.5,3.1,8,G,alexani01
294,Nickeil Alexander-Walker,2024-01-22,25-142,MIN,,CHO,L 125-128,*,30,6,9,.667,2,3,.667,4,6,.667,2,2,1.000,.911,0,0,0,2,1,0,1,2,18,14.7,4.0,-5,G,alexani01
295,Nickeil Alexander-Walker,2024-01-24,25-144,MIN,@,WAS,W 118-107,*,31,2,4,.500,1,1,1.000,1,3,.333,1,2,.500,.615,1,4,5,5,1,0,0,2,6,9.2,1.1,8,G,alexani01
296,Nickeil Alexander-Walker,2024-01-25,25-145,MIN,@,BRK,W 96-94,,17,2,4,.500,1,1,1.000,1,3,.333,1,2,.500,.615,0,1,1,4,0,0,0,2,6,5.9,4.8,1,G,alexani01
297,Nickeil Alexander-Walker,2024-01-27,25-147,MIN,@,SAS,L 112-113,*,33,4,7,.571,1,3,.333,3,4,.750,0,0,,.786,1,3,4,7,1,0,1,1,11,13.8,5.0,2,G,alexani01
298,Nickeil Alexander-Walker,2024-01-29,25-149,MIN,@,OKC,W 107-101,*,35,4,12,.333,2,5,.400,2,7,.286,2,2,1.000,.466,0,2,2,3,2,0,1,2,12,8.1,-0.7,10,G,alexani01
299,Nickeil Alexander-Walker,2024-01-31,25-151,MIN,,DAL,W 121-87,,23,3,7,.429,2,2,1.000,1,5,.200,2,2,1.000,.571,0,0,0,3,0,0,0,5,9,5.4,-3.8,15,G,alexani01
